Metric,Value
silhouette_before,0.5537365674972534
silhouette_after,0.5705104470252991
db_before,0.6819845415515213
db_after,0.6606485436805408
intra_mean_before,0.0004582380164571173
intra_mean_after,0.057889841154371284
inter_mean_before,0.012498528071804595
inter_mean_after,0.8368885330607769
intra_gain,0.057431603137914164
inter_change,0.8243900049889723
